연도,월,상하수도사용량,평균기온,최저기온,최고기온
2021,4,583,14.196666666666665,9.49,19.466666666666665
2021,5,769,17.067741935483873,12.770967741935483,21.90967741935484
2021,6,605,22.816666666666666,18.87,27.553333333333335
2021,7,963,28.11935483870968,24.62258064516129,32.193548387096776
2021,8,1012,25.858064516129033,22.770967741935483,29.69677419354839
2021,9,1556,22.596666666666668,18.816666666666666,26.923333333333336
2021,10,826,15.574193548387097,11.583870967741936,20.51290322580645
2021,11,595,8.18,4.043333333333333,13.076666666666666
2021,12,842,0.5838709677419355,-3.5064516129032257,5.070967741935483
2022,1,651,-2.196774193548387,-6.238709677419355,2.6258064516129034
2022,2,730,-1.125,-5.353571428571429,3.8214285714285716
2022,3,624,7.65483870967742,3.164516129032258,12.748387096774193
2022,4,571,14.753333333333332,9.979999999999999,20.58
2022,5,611,19.12258064516129,13.938709677419356,25.02258064516129
2022,6,637,23.303333333333335,19.846666666666668,27.470000000000002
2022,7,777,27.32903225806452,24.248387096774195,31.0
2022,8,1211,25.706666666666667,23.05666666666667,28.886666666666667
2022,9,1039,22.353333333333335,18.15,27.243333333333332
2022,10,794,14.564516129032258,10.26774193548387,19.677419354838708
2022,11,646,10.03,5.573333333333333,15.43
2022,12,569,-2.8161290322580643,-6.570967741935483,1.6580645161290322
2023,1,769,-1.5225806451612904,-5.693548387096774,3.196774193548387
2023,2,692,2.3000000000000003,-1.864285714285714,7.289285714285714
2023,3,639,9.780645161290321,4.180645161290323,16.18709677419355
2023,4,535,13.8,8.806666666666667,18.953333333333333
2023,5,674,19.52258064516129,14.606451612903227,25.041935483870965
2023,6,689,23.383333333333333,19.746666666666666,27.853333333333335
2023,7,752,26.706451612903226,23.851612903225806,30.193548387096776
2023,8,817,27.187096774193545,24.309677419354838,30.76451612903226
2023,9,838,23.663333333333334,20.233333333333334,27.616666666666667
2023,10,793,15.793548387096775,11.480645161290322,20.993548387096773
2023,11,574,6.796666666666667,2.85,11.516666666666667
2023,12,803,1.1161290322580644,-2.5032258064516126,5.225806451612903
2024,1,678,-0.4870967741935483,-3.9419354838709677,3.564516129032258
2024,2,582,3.820689655172414,0.2379310344827587,8.23103448275862
2024,3,614,6.970967741935484,2.429032258064516,11.990322580645161
2024,4,579,16.343333333333334,11.49,22.373333333333335
2024,5,608,18.493548387096773,13.796774193548387,23.700000000000003
2024,6,543,24.59333333333333,19.866666666666667,30.09
2024,7,831,26.596774193548388,24.106451612903225,29.641935483870967
2024,8,762,29.33225806451613,26.26774193548387,33.31612903225806
2024,9,980,25.483333333333334,21.990000000000002,29.84
2024,10,980,16.654838709677417,12.658064516129032,21.393548387096775
2024,11,647,9.676666666666668,5.493333333333334,14.916666666666666
2024,12,685,0.8483870967741935,-2.903225806451613,5.306451612903226
